"","telegroup","username","datetime","Symbol","dex","pair","open_price","high_price","low_price","close_price","views","volumeto","volumeto_before","pump_gain","dump_loss","withdata","reprate","withcryptopiadata"
"122","Pump'N'Pump - 2018","pumpn",2018-09-09 16:00:00,"MATRX","Cryptopia","BTC",1.5e-07,1.5e-07,1.5e-07,1.5e-07,NA,0,0.003815,0,0,TRUE,0.212765957446809,TRUE
"123","CAMP(Crypto &amp; Massive Pumps)","ExeCrypto",2018-09-09 14:00:00,"ALEX","Cryptopia","BTC",1.002e-05,1.002e-05,1.001e-05,1.001e-05,373,0.001804,0.0048057,0,-0.000998003992015958,TRUE,0.217391304347826,TRUE
"125","Signalsgram","Signalsgram",2018-09-07 20:00:00,"611","Cryptopia","BTC",1.566e-05,1.65e-05,1.65e-05,1.65e-05,NA,0.005028,0.017671,0.0536398467432952,0,TRUE,0.222222222222222,TRUE
"127","Shark Pump Signals","Sharkpumpsignals",2018-09-07 17:59:00,"SPT","Cryptopia","BTC",2.6e-07,2.6e-07,2.6e-07,2.6e-07,NA,0,0,0,0,TRUE,0.227272727272727,TRUE
"128","Cryptopia Pump Squad","cryptoflashsignals",2018-09-06 20:15:00,"BNC","Cryptopia","BTC",0.00021,0.0002368,0.00021,0.0002368,349,0.002368,0.05819,0.127619047619048,0,TRUE,0.232558139534884,TRUE
"129","Donald Pump","DonaldPumpCrypto",2018-09-06 20:00:00,"CMT","Cryptopia","BTC",0,0,0,0,349,0,0,NA,NA,TRUE,0.214285714285714,TRUE
"131","Crypto Pump Island","crypto_pump_island",2018-09-06 16:00:00,"ERY","Cryptopia","BTC",5.7e-07,5.7e-07,5.4e-07,5.4e-07,1250,0.001188,0.0010598,0,-0.0526315789473685,TRUE,0.219512195121951,TRUE
"132","Official McAfee Signals","officialmcafeepumpsignals",2018-09-05 19:30:00,"WHL","Cryptopia","BTC",2.81e-06,2.82e-06,2.81e-06,2.81e-06,NA,0.023969,0.039009,0.00355871886120993,-0.00354609929078011,TRUE,0.225,TRUE
"133","Bomba bitcoin ""cryptopia""","bombabitcoin1",2018-09-05 13:47:00,"RBY","Cryptopia","BTC",5.151e-05,5.183e-05,5.151e-05,5.183e-05,111,0.007154,0.002472,0.00621238594447674,0,TRUE,0.230769230769231,TRUE
"134","??Crypto Millionaire??","cryptocoinsultants07",2018-09-04 20:07:00,"MGX","Cryptopia","BTC",6.601e-05,6.689e-05,6.601e-05,6.604e-05,113,0.010038,0.237,0.0133313134373581,-0.0127074301091345,TRUE,0.236842105263158,TRUE
